"TransactionID","ProductID","PurchaseOrderID","MissingID","TransactionDate","UnitPurchasePrice","QuantityOrdered","QuantityReceived","QuantityMissing"
"1","1","","","5/29/2003","","28","28",""
"2","2","","","5/29/2003","","60","60",""
"3","3","","","5/29/2003","","60","60",""
"4","4","","","5/29/2003","","60","60",""
"6","6","","","5/29/2003","","0","0",""
"7","8","","","5/29/2003","","180","180",""
"8","9","","","5/29/2003","","1080","1080",""
"9","10","","","5/29/2003","","90","90",""
"10","11","","","5/29/2003","","75","75",""
"11","13","","","5/29/2003","","160","160",""
"12","14","","","5/29/2003","","75","75",""
"13","15","","","5/29/2003","","90","90",""
"14","16","","","5/29/2003","","90","90",""
"15","17","","","5/29/2003","","180","180",""
"16","18","","","5/29/2003","","90","90",""
"17","19","","","5/29/2003","","90","90",""
"18","20","","","5/29/2003","","89","89",""
"19","22","","","5/29/2003","","180","180",""
"20","23","","","5/29/2003","","270","270",""
"21","27","","","5/29/2003","","360","360",""
"22","28","","","5/29/2003","","270","270",""
"23","29","","","5/29/2003","","180","180",""
"24","30","","","5/29/2003","","180","180",""
"25","31","","","5/29/2003","","360","360",""
"26","32","","","5/29/2003","","180","180",""
"27","33","","","5/29/2003","","90","90",""
"28","34","","","5/29/2003","","360","360",""
"29","35","","","5/29/2003","","539","539",""
"30","36","","","5/29/2003","","90","90",""
"31","37","","","5/29/2003","","179","179",""
"32","38","","","5/29/2003","","180","180",""
"33","39","","","5/29/2003","","180","180",""
"34","40","","","5/29/2003","","180","180",""
"35","43","","","5/29/2003","","90","90",""
"36","45","","","5/29/2003","","60","60",""
"37","46","","","5/29/2003","","60","60",""
"38","47","","","5/29/2003","","60","60",""
"39","48","","","5/29/2003","","27","27",""
"40","49","","","5/29/2003","","60","60",""
"41","51","","","5/29/2003","","180","180",""
"42","52","","","5/29/2003","","901","901",""
"43","53","","","5/29/2003","","90","90",""
"44","54","","","5/29/2003","","90","90",""
"45","55","","","5/29/2003","","180","180",""
"46","56","","","5/29/2003","","180","180",""
"47","57","","","5/29/2003","","179","179",""
"48","58","","","5/29/2003","","90","90",""
"49","59","","","5/29/2003","","180","180",""
"50","60","","","5/29/2003","","180","180",""
"51","61","","","5/29/2003","","270","270",""
"52","62","","","5/29/2003","","270","270",""
"53","63","","","5/29/2003","","90","90",""
"54","64","","","5/29/2003","","30","30",""
"55","65","","","5/29/2003","","30","30",""
"56","66","","","5/29/2003","","60","60",""
"60","67","","","5/29/2003","","60","60",""
"61","68","","","5/29/2003","","0","0",""
"62","69","","","5/29/2003","","0","0",""
"63","70","","","5/29/2003","","0","0",""
"64","71","","","5/29/2003","","180","180",""
"65","72","","","5/29/2003","","901","901",""
"66","73","","","5/29/2003","","90","90",""
"67","74","","","5/29/2003","","180","180",""
"68","75","","","5/29/2003","","0","0",""
"69","76","","","5/29/2003","","180","180",""
"70","77","","","5/29/2003","","150","150",""
"71","79","","","5/29/2003","","270","270",""
"72","80","","","5/29/2003","","180","180",""
"73","81","","","5/29/2003","","270","270",""
"74","82","","","5/29/2003","","180","180",""
"75","83","","","5/29/2003","","180","180",""
"76","84","","","5/29/2003","","180","180",""
"77","85","","","5/29/2003","","360","360",""
"78","87","","","5/29/2003","","270","270",""
"79","88","","","5/29/2003","","270","270",""
"80","90","","","5/29/2003","","90","90",""
"81","92","","","5/29/2003","","290","290",""
"82","93","","","5/29/2003","","20","20",""
"83","94","","","5/29/2003","","170","170",""
"84","95","","","5/29/2003","","20","20",""
"85","96","","","5/29/2003","","20","20",""
"86","97","","","5/29/2003","","20","20",""
"87","98","","","5/29/2003","","200","200",""
"88","99","","","5/29/2003","","166","166",""
"89","100","","","5/29/2003","","135","135",""
"90","101","","","5/29/2003","","201","201",""
"92","107","","","5/29/2003","","80","80",""
"94","117","","","5/29/2003","","40","40",""
"97","120","","","5/29/2003","","40","40",""
"99","124","","","5/29/2003","","100","100",""
"101","126","","","5/29/2003","","100","100",""
"105","129","","","5/29/2003","","100","100",""
"109","131","","","5/29/2003","","0","0",""
"111","133","","","5/29/2003","","100","100",""
"115","139","","","5/29/2003","","60","60",""
"117","145","","","5/29/2003","","60","60",""
"123","151","","","5/29/2003","","250","250",""
"125","152","","","5/29/2003","","250","250",""
"127","153","","","5/29/2003","","250","250",""
"129","154","","","5/29/2003","","250","250",""
"131","155","","","5/29/2003","","250","250",""
"133","156","","","5/29/2003","","250","250",""
"135","157","","","5/29/2003","","250","250",""
"137","159","","","5/29/2003","","721","721",""
"139","160","","","5/29/2003","","249","249",""
"141","161","","","5/29/2003","","0","0",""
"142","162","","","5/29/2003","","0","0",""
"143","163","","","5/29/2003","","0","0",""
"144","164","","","5/29/2003","","0","0",""
"145","167","","","5/29/2003","","60","60",""
"146","168","","","5/29/2003","","60","60",""
"147","169","","","5/29/2003","","60","60",""
"148","175","","","5/29/2003","","60","60",""
"149","179","","","5/29/2003","","60","60",""
"150","180","","","5/29/2003","","60","60",""
"151","181","","","5/29/2003","","180","180",""
"152","182","","","5/29/2003","","40","40",""
"153","183","","","5/29/2003","","1199","1199",""
"154","184","","","5/29/2003","","60","60",""
"155","185","","","5/29/2003","","180","180",""
"156","186","","","5/29/2003","","120","120",""
"157","187","","","5/29/2003","","120","120",""
"158","189","","","5/29/2003","","120","120",""
"159","190","","","5/29/2003","","120","120",""
"160","191","","","5/29/2003","","120","120",""
"161","196","","","5/29/2003","","180","180",""
"162","197","","","5/29/2003","","60","60",""
"163","198","","","5/29/2003","","116","116",""
"164","199","","","5/29/2003","","60","60",""
"165","200","","","5/29/2003","","120","120",""
"166","201","","","5/29/2003","","60","60",""
"167","202","","","5/29/2003","","120","120",""
"168","209","","","5/29/2003","","120","120",""
"169","210","","","5/29/2003","","60","60",""
"170","211","","","5/29/2003","","60","60",""
"171","212","","","5/29/2003","","60","60",""
"172","213","","","5/29/2003","","60","60",""
"173","214","","","5/29/2003","","60","60",""
"174","215","","","5/29/2003","","119","119",""
"175","216","","","5/29/2003","","120","120",""
"176","217","","","5/29/2003","","60","60",""
"177","219","","","5/29/2003","","180","180",""
"178","220","","","5/29/2003","","239","239",""
"179","221","","","5/29/2003","","46","46",""
"180","223","","","5/29/2003","","120","120",""
