"OrderDetailID","OrderID","ProductID","QuantitySold","UnitSalesPrice"
"2","2","955","5","7.50"
"3","2","958","5","8.50"
"5","2","959","5","8.50"
"6","4","72","50","3.00"
"7","4","9","50","3.20"
"8","2","715","30","4.70"
"9","2","421","10","5.10"
"10","2","419","10","4.80"
"11","2","34","10","2.90"
"12","2","35","20","3.10"
"13","2","88","20","2.90"
"14","2","19","10","3.30"
"15","2","16","10","3.20"
"16","2","23","10","2.70"
"17","4","427","50","4.10"
"18","4","968","30","5.30"
"19","4","806","50","4.80"
"20","4","183","50","4.50"
"21","4","60","10","3.20"
"22","4","57","10","2.50"
"23","4","19","10","3.30"
"24","4","16","10","3.20"
"25","4","82","10","2.70"
"26","5","1009","10","6.60"
"27","5","1006","10","6.20"
"28","5","999","10","5.10"
"29","5","996","10","6.40"
"30","5","1000","10","5.30"
"31","5","994","10","6.10"
"32","5","914","20","4.20"
"33","5","927","20","5.10"
"34","5","43","20","2.60"
"35","5","17","10","2.90"
"36","5","18","20","3.20"
"37","5","19","20","3.30"
"38","5","16","20","3.20"
"39","5","685","10","4.70"
"40","5","314","15","3.30"
"41","5","683","10","4.10"
"42","5","419","10","4.80"
"43","5","564","5","3.40"
"44","5","566","5","3.30"
"45","5","565","5","3.50"
"46","5","968","30","5.30"
"47","5","806","50","4.80"
"48","5","183","40","4.50"
"49","5","427","50","4.10"
"50","5","678","50","3.80"
"51","5","9","50","3.20"
"52","5","72","30","3.00"
"53","5","52","30","2.70"
"54","6","963","5","7.20"
"55","6","941","10","6.00"
"56","6","908","5","5.30"
"57","6","43","10","2.60"
"58","6","989","10","5.90"
"59","6","35","20","3.10"
"60","6","862","10","5.60"
"61","6","996","10","6.40"
"62","7","261","10","5.10"
"63","7","260","10","4.40"
"64","7","862","10","5.60"
"65","7","28","20","2.90"
"66","7","694","10","2.90"
"67","7","504","10","4.10"
"68","7","710","10","4.20"
"69","7","941","10","6.00"
"70","7","906","20","5.30"
"71","7","813","20","4.60"
"72","7","989","20","5.90"
"73","7","1010","10","7.30"
"74","7","1009","10","6.60"
"75","7","689","10","5.10"
"76","7","707","20","3.80"
"77","7","183","30","4.50"
"78","7","427","20","4.10"
"79","7","52","50","2.70"
"80","7","72","30","3.00"
"81","7","955","5","7.50"
"82","7","956","5","7.30"
"83","8","963","10","7.20"
"84","8","954","8","6.90"
"85","8","955","12","7.50"
"86","8","961","8","8.50"
"87","8","962","8","8.50"
"88","8","960","8","7.30"
"89","8","1022","15","5.90"
"90","8","973","10","5.60"
