"PaymentID","OrderID","PaymentMethodID","PaymentDate","PaymentAmount"
"1","2","1","7/10/2003","603.50"
"2","4","1","7/12/2003","1,288.00"
"4","5","1","7/15/2003","1,800.00"
"5","6","1","7/14/2003","389.50"
"6","7","1","7/15/2003","1,479.00"
"7","8","1","7/14/2003","2,028.85"
"8","9","1","7/15/2003","1,315.10"
"9","10","1","7/16/2003","2,603.00"
"10","11","1","7/16/2003","319.00"
"11","5","1","7/16/2003","559.50"
"12","12","1","7/17/2003","481.50"
"13","13","1","7/18/2003","1,819.50"
"14","14","1","7/18/2003","13.10"
"15","15","1","7/18/2003","12.00"
"16","16","1","7/19/2003","16.70"
"17","17","1","7/21/2003","968.00"
"18","18","1","7/22/2003","80.10"
"19","19","1","7/22/2003","548.00"
"20","20","1","7/22/2003","2,100.00"
"21","21","1","7/22/2003","2,769.35"
"22","22","1","7/23/2003","352.50"
"23","23","1","7/23/2003","867.00"
"24","20","1","7/23/2003","47.00"
"25","24","1","7/23/2003","2,120.10"
"26","25","1","7/24/2003","16.30"
"27","26","1","7/24/2003","1,457.00"
"28","15","1","7/24/2003","2.00"
"29","27","1","7/24/2003","11.60"
"30","28","1","7/25/2003","2,705.20"
"31","29","1","7/25/2003","9,672.30"
"32","30","1","7/25/2003","3.00"
"33","31","1","7/28/2003","2,096.20"
"34","31","1","7/29/2003","1,000.00"
"35","32","1","7/29/2003","237.00"
"36","35","1","7/29/2003","1,176.90"
"37","36","1","7/29/2003","28.10"
"38","37","1","7/30/2003","1,222.60"
"39","33","1","7/30/2003","1,766.60"
"40","34","1","7/31/2003","1,113.60"
"41","39","1","7/31/2003","8.40"
"42","40","1","8/1/2003","1,910.85"
"43","41","1","8/2/2003","3,602.00"
"44","38","1","8/2/2003","935.50"
"45","43","1","8/5/2003","776.20"
"46","44","1","8/5/2003","1,048.25"
"47","45","1","8/5/2003","509.00"
"48","46","1","8/5/2003","166.70"
"49","47","1","8/5/2003","934.50"
"50","48","1","8/5/2003","418.50"
"51","49","1","8/5/2003","1,137.10"
"52","50","1","8/5/2003","15.10"
"53","42","1","8/6/2003","2,305.00"
"54","51","1","8/6/2003","532.50"
"55","53","1","8/7/2003","124.00"
"56","52","1","8/6/2003","896.00"
"57","55","1","8/8/2003","110.20"
"58","54","1","8/8/2003","4,000.00"
"59","56","1","8/9/2003","763.50"
"60","54","1","8/9/2003","562.50"
"61","57","1","8/11/2003","893.50"
"62","58","1","8/11/2003","789.50"
"63","59","1","8/12/2003","801.00"
"64","60","1","8/13/2003","3,606.00"
"65","61","1","8/13/2003","370.50"
"66","62","1","8/13/2003","1,714.00"
"67","66","1","8/13/2003","483.87"
"68","63","1","8/14/2003","1,044.80"
"69","67","1","8/14/2003","3,580.00"
"70","66","1","8/14/2003","837.23"
"71","68","1","8/14/2003","26.90"
"72","69","1","8/14/2003","3,212.00"
"73","70","1","8/15/2003","602.60"
"74","73","1","8/15/2003","43.30"
"75","74","1","8/15/2003","3,277.40"
"76","72","1","8/15/2003","76.10"
"77","75","1","8/16/2003","1,542.50"
"78","76","1","8/16/2003","1,469.40"
"79","71","1","8/16/2003","10,891.70"
"80","77","1","8/16/2003","252.00"
"81","78","1","8/16/2003","749.90"
"82","80","1","8/18/2003","235.10"
"83","79","1","8/18/2003","932.40"
"84","81","1","8/18/2003","505.00"
"85","82","1","8/18/2003","1,070.05"
"86","83","1","8/19/2003","96.80"
