"ProductID","ProductName","Color","ModelDescription","FabricDescription","Category","Gender","ProductLine","Weight","Size","PackSize","Status","InventoryDate","PurchasePrice"
"1","3-182","","AT","182","Undershirts","Girls' Undershirts","Underwear","822","3","Dozen","In Production","7/10/2003","6.60"
"2","3-183","","AT","183","Undershirts","Girls' Undershirts","Underwear","620","3","Dozen","Out of Production","7/10/2003","5.60"
"3","3-184","","AT","184","Undershirts","Girls' Undershirts","Underwear","718","3","Dozen","In Production","7/10/2003","6.30"
"4","3-185","","AT","185","Undershirts","Boys' Undershirts","Underwear","820","3","Dozen","In Production","7/10/2003","5.60"
"5","3-A30N","","A","30","Briefs","Girls' Panties","Underwear","214","3","Dozen","Out of Production","8/6/2003","3.30"
"6","3-BX34","","BX","34","Boxers","Boys' Briefs","Underwear","55","3","Single Unit","Out of Production","7/10/2003","0.62"
"7","3-BX64","","BX","64","Boxers","Boys' Briefs","Underwear","55","3","Single Unit","Out of Production","8/6/2003","0.47"
"8","3-ERK33","","ERK","33","Briefs","Boys' Briefs","Underwear","389","3","Dozen","Out of Production","7/10/2003","3.25"
"9","3-ERK61","","ERK","61","Briefs","Boys' Briefs","Underwear","325","3","Dozen","In Production","7/10/2003","2.70"
"10","3-ERK63","","ERK","63","Briefs","Boys' Briefs","Underwear","340","3","Dozen","In Production","7/10/2003","2.55"
"11","3-GB31","","GB","31","Briefs","Girls' Panties","Underwear","370","3","Dozen","Out of Production","7/10/2003","2.65"
"12","3-GB31E","","GB","31","Briefs","Girls' Panties","Underwear","345","3","Dozen","Out of Production","8/6/2003","2.75"
"13","3-GB32","","GB","32","Briefs","Girls' Panties","Underwear","330","3","Dozen","Out of Production","7/10/2003","2.65"
"14","3-GB32E","","GB","32","Briefs","Girls' Panties","Underwear","359","3","Dozen","Out of Production","7/10/2003","2.75"
"15","3-GB92","","GB","92","Briefs","Girls' Panties","Underwear","294","3","Dozen","Out of Production","7/10/2003","2.15"
"16","3-K203","","K","203","Briefs","Girls' Panties","Underwear","280","3","Dozen","Out of Production","7/10/2003","2.70"
"17","3-K21","","K","21","Briefs","Girls' Panties","Underwear","281","3","Dozen","In Production","7/10/2003","2.70"
"18","3-K213","","K","213","Briefs","Girls' Panties","Underwear","269","3","Dozen","Out of Production","7/10/2003","2.65"
"19","3-K218","","K","218","Briefs","Girls' Panties","Underwear","280","3","Dozen","Out of Production","7/10/2003","2.75"
"20","3-K21E","","K","21","Briefs","Girls' Panties","Underwear","276","3","Dozen","In Production","7/10/2003","2.80"
"21","3-K22","","K","22","Briefs","Girls' Panties","Underwear","381","3","Dozen","Out of Production","8/6/2003","2.00"
"22","3-K22E","","K","22","Briefs","Girls' Panties","Underwear","281","3","Dozen","Out of Production","7/10/2003","2.10"
"23","3-K23","","K","23","Briefs","Girls' Panties","Underwear","242","3","Dozen","In Production","7/10/2003","2.50"
"24","3-K23E","","K","23","Briefs","Girls' Panties","Underwear","271","3","Dozen","In Production","8/6/2003","2.60"
"25","3-K24E","","K","24","Briefs","Girls' Panties","Underwear","330","3","Dozen","In Production","8/6/2003","2.70"
"26","3-K26","","K","26","Briefs","Girls' Panties","Underwear","329","3","Dozen","Out of Production","8/6/2003","2.00"
"27","3-K29","","K","29","Briefs","Girls' Panties","Underwear","273","3","Dozen","In Production","7/10/2003","2.40"
"28","3-K30","","K","30","Briefs","Girls' Panties","Underwear","275","3","Dozen","In Production","7/10/2003","2.60"
"29","3-K30B","","K","30","Briefs","Girls' Panties","Underwear","282","3","Dozen","Out of Production","7/10/2003","2.70"
"30","3-K30C","","K","30","Briefs","Girls' Panties","Underwear","282","3","Dozen","Out of Production","7/10/2003","3.00"
"31","3-K30N","","K","30","Briefs","Girls' Panties","Underwear","282","3","Dozen","In Production","7/10/2003","3.20"
"32","3-K31","","K","31","Briefs","Girls' Panties","Underwear","220","3","Dozen","Out of Production","7/10/2003","2.40"
"33","3-K31E","","K","31","Briefs","Girls' Panties","Underwear","305","3","Dozen","In Production","7/10/2003","2.70"
"34","3-K32","","K","32","Briefs","Girls' Panties","Underwear","266","3","Dozen","In Production","7/10/2003","2.50"
"35","3-K32E","","K","32","Briefs","Girls' Panties","Underwear","290","3","Dozen","In Production","7/10/2003","2.60"
"36","3-K92","","K","92","Briefs","Girls' Panties","Underwear","310","3","Dozen","Out of Production","7/10/2003","1.80"
"37","3-K93","","K","93","Briefs","Girls' Panties","Underwear","275","3","Dozen","Out of Production","7/10/2003","1.80"
