"PurchaseOrderID","SupplierID","EmployeeID","ShippingMethodID","OrderDate"
"25","1","1","3","10/15/2003"
"27","1","1","3","9/16/2003"
"28","1","1","3","9/17/2003"
"29","1","1","3","9/17/2003"
"30","1","1","3","9/17/2003"
"31","1","1","3","9/20/2003"
"32","1","1","3","9/20/2003"
"33","1","1","3","9/26/2003"
"34","1","1","3","9/30/2003"
"35","1","1","3","10/4/2003"
"36","1","3","3","10/22/2003"
"37","1","3","3","10/11/2003"
"38","1","3","3","10/25/2003"
"39","1","1","3","11/15/2003"
"41","1","6","3","12/2/2003"
"42","1","6","3","12/2/2003"
"44","1","6","3","12/17/2003"
"45","1","6","3","12/17/2003"
"46","1","6","2","12/31/2003"
"48","1","6","3","1/14/2004"
"49","1","6","3","1/23/2004"
"52","1","6","3","2/9/2004"
"53","1","6","3","2/13/2004"
"54","1","6","3","2/21/2004"
"55","1","6","2","3/3/2004"
"57","1","6","3","3/16/2004"
"59","1","2","3","3/18/2004"
"60","1","6","2","3/26/2004"
"61","1","6","3","3/27/2004"
"62","1","6","3","3/31/2004"
"65","1","6","2","4/19/2004"
"67","1","6","3","4/10/2004"
"68","1","6","3","4/10/2004"
"69","1","6","3","4/3/2004"
"73","1","6","3","4/17/2004"
"74","1","6","2","5/6/2004"
"75","1","6","3","4/22/2004"
"76","1","6","3","4/24/2004"
"79","1","6","2","6/20/2004"
"80","1","6","2","5/12/2004"
"81","1","6","2","5/20/2004"
"82","1","6","2","5/20/2004"
"83","1","6","2","5/20/2004"
"84","1","6","2","5/29/2004"
"86","1","6","2","6/1/2004"
"87","1","6","2","6/2/2004"
"88","1","6","2","6/9/2004"
"89","1","6","2","6/11/2004"
"90","1","6","2","6/21/2004"
"91","1","6","2","6/23/2004"
"92","1","6","2","6/23/2004"
"96","1","6","2","7/9/2004"
"97","1","6","2","7/13/2004"
"99","1","6","2","7/3/2004"
"100","1","6","2","7/2/2004"
"101","1","6","2","6/30/2004"
"102","1","6","2","6/22/2004"
"103","1","6","2","6/26/2004"
"104","1","6","2","7/10/2004"
"105","1","6","2","7/10/2004"
"106","1","6","2","7/27/2004"
"107","1","6","2","7/31/2004"
"108","1","6","2","9/4/2004"
"111","1","6","2","9/7/2004"
"112","1","6","2","9/8/2004"
"113","1","6","2","8/25/2004"
"115","1","6","2","9/4/2004"
"116","1","6","2","8/28/2004"
